approx_year_built,cats_allowed,coop_condo,dining_room_type,dogs_allowed,garage_exists,kitchen_type,num_bedrooms,num_full_bathrooms,num_half_bathrooms,num_total_rooms,pct_tax_deductibl,sale_price,sq_footage,walk_score,zip_codes,monthly_costs
1955,yes,co-op,NA,no,yes,Combo,2,1,0,5,50,276000,NA,90,Jamaica,936
1963,no,co-op,combo,no,no,eat in,1,1,0,4,NA,120000,850,93,Jamaica,661
1936,yes,co-op,formal,yes,no,efficiency,2,1,0,4,49,315000,1050,84,Southwest Queens,941
1950,yes,co-op,combo,no,yes,eat in,2,1,0,5,40,238888,800,89,North Queens,948
1960,yes,co-op,formal,no,no,efficiency,1,1,0,4,40,123000,NA,77,Southwest Queens,743
1955,no,co-op,combo,no,no,combo,0,1,0,2,NA,119000,NA,93,West Central Queens,509
1960,yes,co-op,combo,no,no,efficiency,1,1,0,4,NA,124000,NA,77,Southwest Queens,623
1956,no,co-op,NA,no,no,efficiency,1,1,0,3,NA,275000,800,97,West Central Queens,622
1955,yes,co-op,combo,yes,no,efficiency,2,1,0,4,NA,380000,NA,92,West Central Queens,913
1954,yes,co-op,combo,yes,yes,eat in,1,1,0,4,50,125000,NA,83,Jamaica,791
1935,yes,co-op,formal,no,no,Combo,1,1,0,4,NA,281000,NA,93,West Queens,523
1950,yes,co-op,formal,no,no,efficiency,2,1,0,4,40,219000,NA,81,North Queens,913
1950,yes,co-op,formal,yes,no,efficiency,3,1,0,6,50,286000,NA,63,Central Queens,1299
1960,no,co-op,combo,no,no,eat in,3,1,0,6,NA,272000,NA,73,Southwest Queens,783
1960,no,co-op,combo,no,no,efficiency,2,1,0,4,NA,247000,NA,81,West Queens,722
1991,yes,condo,combo,yes,no,Combo,1,1,0,3,NA,247000,NA,97,West Queens,446.5
1960,yes,co-op,formal,no,no,eat in,2,2,0,5,NA,319000,1200,80,North Queens,1470
1937,no,co-op,formal,no,no,combo,1,1,0,4,NA,157000,NA,87,Central Queens,773
1955,no,co-op,combo,no,no,combo,2,1,0,4,50,155000,NA,71,Southeast Queens,644
1944,yes,co-op,NA,yes,no,efficiency,0,1,0,1,50,150000,500,98,West Central Queens,519
1938,yes,co-op,formal,yes,no,efficiency,2,1,0,4,NA,257000,NA,91,Southwest Queens,789
1992,yes,condo,combo,yes,yes,efficiency,2,1,0,4,NA,332000,NA,93,West Queens,549.3333333
2015,no,condo,combo,no,no,eat in,2,2,0,6,NA,648000,977,95,West Central Queens,243
1960,yes,co-op,formal,no,no,efficiency,2,1,0,4,NA,130000,NA,77,Southwest Queens,751
1982,yes,condo,NA,no,no,efficiency,2,1,0,5,NA,550000,NA,82,North Queens,1004.75
1926,yes,co-op,NA,no,no,eat in,1,1,0,3,40,325000,NA,97,Northwest Queens,768
1985,no,condo,combo,no,no,eat in,3,2,0,7,NA,680000,NA,58,North Queens,1170.25
1950,no,co-op,combo,no,no,eat in,1,1,0,4,NA,103500,NA,82,Southeast Queens,0
1973,no,condo,NA,no,no,combo,2,1,0,4,NA,452000,778,90,Central Queens,793.5833333
1930,no,co-op,NA,no,no,eat in,1,1,0,3,NA,255000,NA,94,West Central Queens,559
1950,no,co-op,formal,no,no,efficiency,1,1,0,3,NA,205000,NA,86,Central Queens,560
1960,no,co-op,NA,no,no,Combo,1,1,0,3,NA,185000,NA,91,Southwest Queens,645
1952,yes,co-op,NA,yes,no,efficiency,2,1,0,4,NA,415000,NA,96,West Central Queens,1036
1970,no,co-op,NA,no,no,efficiency,1,1,0,3,NA,344000,NA,67,North Queens,1385
1950,no,co-op,combo,no,no,efficiency,2,1,0,5,NA,239000,NA,79,Northeast Queens,815
1973,yes,condo,combo,yes,yes,efficiency,2,1,0,4,NA,480000,870,90,Central Queens,960.8333333
1951,yes,co-op,NA,yes,yes,Combo,1,1,0,3,50,280000,NA,96,West Queens,780
1938,no,co-op,NA,no,yes,Combo,0,1,0,2,NA,135500,NA,93,West Central Queens,435
1960,yes,co-op,combo,no,no,efficiency,1,1,0,3,NA,66000,NA,76,Southwest Queens,550
1970,no,co-op,NA,no,no,NA,1,1,0,3,NA,185000,NA,95,Jamaica,893
1950,no,co-op,NA,no,no,Combo,2,1,0,4,NA,155000,571,66,Southeast Queens,644
1951,no,co-op,formal,no,no,combo,2,1,0,5,NA,207000,NA,66,Southeast Queens,700
1952,yes,co-op,formal,no,no,efficiency,1,1,0,3,NA,179000,600,86,North Queens,536
1961,no,co-op,NA,no,no,eat in,1,1,0,3,NA,225000,NA,93,Northwest Queens,648
1982,no,condo,combo,no,yes,eat in,2,2,0,5,NA,635000,1050,82,North Queens,1167.666667
1974,no,co-op,combo,no,yes,efficiency,1,1,0,3,50,289000,630,54,Southeast Queens,743
1951,no,co-op,combo,no,no,efficiency,2,1,0,4,NA,155000,NA,73,Southeast Queens,644
1950,yes,co-op,combo,no,no,efficiency,1,1,0,3,NA,167000,NA,78,North Queens,805
1921,no,co-op,combo,no,no,Combo,2,1,0,5,NA,290000,NA,96,Northwest Queens,789
1965,no,co-op,NA,no,no,efficiency,0,1,0,2,NA,55000,NA,76,Southwest Queens,397
1960,yes,co-op,NA,no,no,efficiency,1,1,0,3,NA,140000,NA,77,Southwest Queens,687
1955,yes,co-op,combo,no,no,efficiency,1,1,0,3,NA,168000,NA,72,Northeast Queens,739
1955,yes,co-op,formal,no,no,efficiency,2,1,0,5,NA,238000,950,85,North Queens,824
1950,yes,co-op,NA,yes,no,eat in,2,1,0,5,39,330000,NA,86,Southeast Queens,765
1953,yes,co-op,combo,no,no,efficiency,1,1,0,3,35,181500,NA,78,Northeast Queens,722
1983,no,condo,combo,no,no,eat in,1,1,0,7,NA,640000,NA,82,North Queens,929
1950,yes,co-op,formal,yes,no,efficiency,1,1,0,4,NA,198800,NA,88,Central Queens,770
1938,no,condo,NA,no,no,efficiency,1,1,0,2,NA,420000,778,95,West Central Queens,784.3333333
1964,yes,co-op,formal,no,no,combo,3,2,0,5,NA,686000,NA,97,West Central Queens,1729
1964,yes,co-op,formal,no,no,combo,3,2,0,5,NA,686000,NA,97,West Central Queens,1729
1975,no,co-op,NA,no,yes,eat in,3,2,1,7,50,820000,1950,54,Southeast Queens,2460
1928,yes,co-op,combo,no,no,eat in,1,1,0,3,48,175000,NA,59,North Queens,790
1950,yes,co-op,formal,no,no,efficiency,2,1,0,5,NA,265000,NA,77,Northeast Queens,994
1952,yes,co-op,NA,yes,yes,eat in,3,2,0,6,NA,585000,1379,94,West Central Queens,1537
1963,yes,co-op,formal,yes,no,efficiency,2,1,0,5,NA,132000,NA,70,Southwest Queens,763
1966,yes,condo,combo,yes,no,efficiency,1,1,0,3,NA,259000,NA,76,Southwest Queens,697
1950,yes,co-op,combo,yes,no,efficiency,1,1,0,3,46,235000,743,87,West Central Queens,720
2007,no,condo,formal,no,no,Combo,2,2,0,7,NA,565000,1075,98,North Queens,275.6666667
1978,no,condo,combo,no,no,efficiency,1,1,0,3,NA,298000,657,84,West Central Queens,379.75
1964,no,co-op,NA,no,yes,efficiency,1,1,0,3,NA,330000,NA,99,West Central Queens,864
1950,no,co-op,NA,no,no,efficiency,1,1,0,3,NA,177677,NA,59,Southeast Queens,497
1950,no,co-op,combo,no,yes,eat in,2,1,0,4,NA,230000,NA,90,Central Queens,990
1955,yes,co-op,combo,yes,no,efficiency,1,1,0,3,NA,175000,NA,89,Central Queens,658
1950,no,co-op,formal,no,yes,eat in,3,2,0,8,NA,690000,NA,94,West Central Queens,1564
1950,no,co-op,formal,no,yes,eat in,2,1,0,4,NA,355000,1100,87,North Queens,886
1952,no,co-op,NA,no,no,NA,1,1,0,4,40,130000,670,94,West Queens,585
1952,yes,co-op,NA,yes,no,eat in,2,1,0,4,NA,315000,NA,96,West Central Queens,975
1951,yes,co-op,formal,yes,no,efficiency,1,1,0,3,NA,170000,760,94,West Queens,714
1958,yes,co-op,combo,no,no,eat in,1,1,0,3,39,246000,NA,52,North Queens,897
1950,yes,co-op,NA,no,no,efficiency,1,1,0,3,NA,189000,NA,68,Northeast Queens,664
1955,yes,co-op,NA,no,no,Combo,1,1,0,3,50,155500,NA,63,Northeast Queens,546
