"","approx_year_built","cats_allowed","common_charges","coop_condo","dining_room_type","dogs_allowed","full_address_or_zip_code","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_full_bathrooms","num_half_bathrooms","num_total_rooms","parking_charges","pct_tax_deductibl","sale_price","sq_footage","total_taxes","walk_score","zip_codes"
"1210",1956,"no",NA,"co-op","formal","no","68-61 Yellowstone Blvd., Forest Hills, NY 11375",NA,"efficiency kitchen","$1,287 ",2,2,0,7,NA,NA,NA,NA,NA,94,"11375"
"1211",1939,"no",NA,"co-op","combo","no","69-09 108th St,  Forest Hills NY, 11375",NA,"combo","$791",1,1,NA,3,NA,50,NA,NA,NA,92,"11375"
"1212",1940,"no",NA,"co-op","formal","no","69-10 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"eatin","$817",1,1,0,4,"$150",NA,NA,725,NA,98,"11375"
"1213",1942,"no",NA,"co-op","other","no","69-10 Yellowstone Blvd,  Forest Hills NY, 11375","yes","eatin","$1,050 ",2,1,NA,5,"$150",NA,NA,NA,NA,98,"11375"
"1214",1940,"no",NA,"co-op","other","no","69-10 Yellowstone Blvd,  Forest Hills NY, 11375","yes","eatin","$805",1,1,NA,3,NA,NA,NA,NA,NA,98,"11375"
"1215",1950,"yes",NA,"co-op","formal","no","69-21 Bell Blvd,  Bayside NY, 11364",NA,"efficiency","$542",2,1,NA,5,NA,NA,NA,NA,NA,75,"11364"
"1216",1955,"yes",NA,"co-op","combo","no","69-29 210th St,  Bayside NY, 11364",NA,"combo","$578",1,1,NA,3,NA,50,NA,NA,NA,64,"11364"
"1217",1940,"no",NA,"co-op","other","no","69-40 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"eatin","$1,335 ",2,2,NA,4,NA,50,NA,1155,NA,98,"11375"
"1218",1940,"no",NA,"co-op","other","no","69-40 Yellowstone Blvd, Forest Hills NY, 11375",NA,"eatin","$1,339 ",2,2,NA,5,NA,50,NA,1231,NA,98,"11375"
"1219",1940,"no",NA,"co-op","other","no","69-40 Yellowstone Blvd, Forest Hills NY, 11375",NA,"eatin","$1,790 ",4,2,NA,7,NA,50,NA,1557,NA,98,"11375"
"1220",1950,"yes","$740","condo","formal","yes","69-45 108th St,  Forest Hills NY, 11375",NA,"eatin",NA,2,2,NA,5,NA,NA,NA,1215,"$4,104 ",98,"11375"
"1221",1950,"yes",NA,"co-op","combo","no","69-48 218 St,  Bayside NY, 11364",NA,"efficiency kitchen","$461",2,1,NA,5,NA,NA,NA,NA,NA,75,"11364"
